Ref,Val,Package,PosX,PosY,Rot,Side
"FIN1","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",49.800000,100.157864,-90.000000,top
"FIN2","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",42.100000,107.657864,-90.000000,top
"FIN3","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",34.700000,115.157864,-90.000000,top
"FIN4","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",27.000000,122.657864,-90.000000,top
"FIN5","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",100.050000,100.157864,180.000000,top
"FIN6","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",107.700000,107.657864,180.000000,top
"FIN7","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",115.300000,115.157864,180.000000,top
"FIN8","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",122.800000,122.657864,180.000000,top
"FIN9","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",100.100000,50.157864,90.000000,top
"FIN10","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",107.700000,42.657864,90.000000,top
"FIN11","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",115.300000,35.157864,90.000000,top
"FIN12","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",122.800000,27.657864,90.000000,top
"FIN13","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",49.700000,50.157864,0.000000,top
"FIN14","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",42.100000,42.557864,0.000000,top
"FIN15","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",34.700000,35.157864,0.000000,top
"FIN16","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",27.000000,27.657864,0.000000,top
"LED1","WS2812-4020_single","WS2812-mini",68.899992,81.057864,180.000000,top
"LED2","WS2812-4020_single","WS2812-mini",74.899992,81.049014,90.000000,top
"LED3","WS2812-4020_single","WS2812-mini",80.899992,81.166692,90.000000,top
"LED4","WS2812-4020_single","WS2812-mini",80.899992,75.099013,0.000000,top
"LED5","WS2812-4020_single","WS2812-mini",80.899992,69.049013,0.000000,top
"LED6","WS2812-4020_single","WS2812-mini",74.899992,69.049025,-90.000000,top
"LED7","WS2812-4020_single","WS2812-mini",68.899992,69.049013,0.000000,top
"LED8","WS2812-4020_single","WS2812-mini",68.899992,75.099013,180.000000,top
"LED9","WS2812-4020_single","WS2812-mini",74.899992,75.049026,90.000000,top
"POS17","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",33.099999,75.157865,90.000000,top
"POS18","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",21.699997,63.857864,-90.000000,top
"POS19","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",21.699997,75.107853,-90.000000,top
"POS20","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",21.699997,86.457868,-90.000000,top
"POS21","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",74.950004,116.257859,0.000000,top
"POS22","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",63.699989,127.557864,-90.000000,top
"POS23","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",74.950004,127.557864,90.000000,top
"POS24","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",86.199995,127.557864,-90.000000,top
"POS25","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",116.282332,75.157865,90.000000,top
"POS26","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",127.599988,86.557868,180.000000,top
"POS27","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",127.599988,75.160888,0.000000,top
"POS28","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",127.599988,63.757863,0.000000,top
"POS29","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",74.899992,34.175549,0.000000,top
"POS30","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",86.099995,22.857868,90.000000,top
"POS31","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",74.796969,22.857868,0.000000,top
"POS32","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",63.499989,22.857868,0.000000,top
"POS33","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",33.099999,88.657864,0.000000,top
"POS34","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",21.700000,98.457864,-90.000000,top
"POS35","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",13.200000,109.457864,-90.000000,top
"POS36","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",8.600000,121.457864,-90.000000,top
"POS37","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",9.900000,132.157864,-90.000000,top
"POS38","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",17.500000,139.657864,180.000000,top
"POS39","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",28.600000,140.857864,180.000000,top
"POS40","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",40.700000,136.357864,180.000000,top
"POS41","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",51.800000,127.557864,90.000000,top
"POS42","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",61.600000,116.357864,90.000000,top
"POS43","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",68.700000,105.057864,90.000000,top
"POS44","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",74.900000,93.857864,180.000000,top
"POS45","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",81.100000,105.057864,-90.000000,top
"POS46","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",88.300000,116.357864,-90.000000,top
"POS47","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",98.000000,127.557864,-90.000000,top
"POS48","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",109.300000,136.457864,180.000000,top
"POS49","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",121.200000,140.857864,180.000000,top
"POS50","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",132.200000,139.690187,180.000000,top
"POS51","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",139.700000,132.193220,90.000000,top
"POS52","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",140.800000,121.457864,90.000000,top
"POS53","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",136.500000,109.457864,90.000000,top
"POS54","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",127.500000,98.457864,90.000000,top
"POS55","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",116.300000,88.657864,0.000000,top
"POS56","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",104.700000,81.257864,0.000000,top
"POS57","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",93.800000,75.157864,90.000000,top
"POS58","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",104.700000,69.157864,180.000000,top
"POS59","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",116.250000,61.957864,90.000000,top
"POS60","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",127.599988,52.157864,90.000000,top
"POS61","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",136.499996,41.157864,90.000000,top
"POS62","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",140.700000,29.457864,90.000000,top
"POS63","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",139.600000,18.457864,90.000000,top
"POS64","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",132.182322,10.857864,0.000000,top
"POS65","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",121.300000,9.657864,0.000000,top
"POS66","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",109.300000,14.157864,-90.000000,top
"POS67","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",98.000000,22.957864,-90.000000,top
"POS68","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",88.300000,34.257864,-90.000000,top
"POS69","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",81.100000,45.657864,-90.000000,top
"POS70","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",74.900000,56.357864,0.000000,top
"POS71","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",68.700000,45.757864,90.000000,top
"POS72","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",61.600000,34.157864,90.000000,top
"POS73","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",51.800000,22.857864,90.000000,top
"POS74","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",40.700000,14.157864,0.000000,top
"POS75","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",28.600000,9.657864,0.000000,top
"POS76","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",17.553033,10.790187,-90.000000,top
"POS77","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",9.900000,18.390187,-90.000000,top
"POS78","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",8.500000,29.157864,-90.000000,top
"POS79","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",13.200000,41.157864,180.000000,top
"POS80","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",21.700000,52.157864,180.000000,top
"POS81","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",33.100000,61.957864,180.000000,top
"POS82","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",44.900000,69.157864,180.000000,top
"POS83","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",56.000000,75.057864,-90.000000,top
"POS84","WS2812-4020_dual","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",44.900000,81.257864,0.000000,top
"R1","470R","R_0603_1608Metric",53.000000,93.957864,180.000000,top
"R2","470R","R_0603_1608Metric",43.300000,90.257864,180.000000,top
"R3","470R","R_0603_1608Metric",62.500000,85.757864,-90.000000,top
"R4","470R","R_0603_1608Metric",52.400000,86.257864,180.000000,top
